#id,breed,group,group2,bioproject
SAMN08810162,Friesian-Jersey cross,HolsteinRelated,Holstein-X-Jersey,PRJNA446068
SAMN08810158,Friesian-Jersey cross,HolsteinRelated,Holstein-X-Jersey,PRJNA446068
SAMN08810160,Friesian-Jersey cross,HolsteinRelated,Holstein-X-Jersey,PRJNA446068
SAMN08810154,Friesian-Jersey cross,HolsteinRelated,Holstein-X-Jersey,PRJNA446068
SAMN08810156,Friesian-Jersey cross,HolsteinRelated,Holstein-X-Jersey,PRJNA446068
SAMN08810150,Friesian-Jersey cross,HolsteinRelated,Holstein-X-Jersey,PRJNA446068
SAMN08810152,Friesian-Jersey cross,HolsteinRelated,Holstein-X-Jersey,PRJNA446068
SAMN08810166,Friesian-Jersey cross,HolsteinRelated,Holstein-X-Jersey,PRJNA446068
SAMN02841109,Holstein,Holstein,Holstein,PRJNA176557
SAMN02841119,Holstein,Holstein,Holstein,PRJNA176557
SAMN02841118,Holstein,Holstein,Holstein,PRJNA176557
SAMN02841117,Holstein,Holstein,Holstein,PRJNA176557
SAMN02842716,Holstein,Holstein,Holstein,PRJNA176557
SAMN02842701,Holstein,Holstein,Holstein,PRJNA176557
SAMN02842711,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843120,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843114,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843139,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843140,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843129,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843128,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843130,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843125,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843127,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843124,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843126,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843110,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843164,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843167,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843162,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843158,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843163,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843165,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843156,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843160,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843166,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843161,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843159,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843157,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843180,Holstein,Holstein,Holstein,PRJNA176557
SAMN02843179,Holstein,Holstein,Holstein,PRJNA176557
